,isocode,year,month,ons_armedconf12_pred_jut,ons_armedconf12_pred_top,ons_armedconf12_pred_aug
132,AFG,2000,1,,,
385,AGO,2000,1,,,
638,ALB,2000,1,,,
891,AND,2000,1,,,
1144,ARE,2000,1,,,
1397,ARG,2000,1,,,
1620,ARM,2000,1,,,
1873,ATG,2000,1,,,
2126,AUS,2000,1,,,
2379,AUT,2000,1,,,
2602,AZE,2000,1,,,
2855,BDI,2000,1,,,
3108,BEL,2000,1,,,
3361,BEN,2000,1,,,
3614,BFA,2000,1,,,
3867,BGD,2000,1,,,
4120,BGR,2000,1,,,
4373,BHR,2000,1,,,
4626,BHS,2000,1,,,
4837,BIH,2000,1,,,
5061,BLR,2000,1,,,
5314,BLZ,2000,1,,,
5567,BOL,2000,1,,,
5820,BRA,2000,1,,,
6073,BRB,2000,1,,,
6326,BRN,2000,1,,,
6579,BTN,2000,1,,,
6832,BWA,2000,1,,,
7085,CAF,2000,1,,,
7338,CAN,2000,1,,,
7591,CHE,2000,1,,,
7844,CHL,2000,1,,,
8097,CHN,2000,1,,,
8350,CIV,2000,1,,,
8603,CMR,2000,1,,,
8856,COD,2000,1,,,
9109,COG,2000,1,,,
9362,COL,2000,1,,,
9615,COM,2000,1,,,
9868,CPV,2000,1,,,
10121,CRI,2000,1,,,
10374,CUB,2000,1,,,
10627,CYP,2000,1,,,
10832,CZE,2000,1,,,
11085,DEU,2000,1,,,
11338,DJI,2000,1,,,
11591,DMA,2000,1,,,
11844,DNK,2000,1,,,
12097,DOM,2000,1,,,
12350,DZA,2000,1,,,
12603,ECU,2000,1,,,
12856,EGY,2000,1,,,
13058,ERI,2000,1,,,
13311,ESP,2000,1,,,
13534,EST,2000,1,,,
13787,ETH,2000,1,,,
14040,FIN,2000,1,,,
14293,FJI,2000,1,,,
14546,FRA,2000,1,,,
14799,FSM,2000,1,,,
15052,GAB,2000,1,,,
15305,GBR,2000,1,,,
15528,GEO,2000,1,,,
15781,GHA,2000,1,,,
16034,GIN,2000,1,,,
16287,GMB,2000,1,,,
16540,GNB,2000,1,,,
16793,GNQ,2000,1,,,
17046,GRC,2000,1,,,
17299,GRD,2000,1,,,
17552,GTM,2000,1,,,
17805,GUY,2000,1,,,
18058,HND,2000,1,,,
18281,HRV,2000,1,,,
18534,HTI,2000,1,,,
18787,HUN,2000,1,,,
19040,IDN,2000,1,,,
19293,IND,2000,1,,,
19546,IRL,2000,1,,,
19799,IRN,2000,1,,,
20052,IRQ,2000,1,,,
20305,ISL,2000,1,,,
20558,ISR,2000,1,,,
20811,ITA,2000,1,,,
21064,JAM,2000,1,,,
21317,JOR,2000,1,,,
21570,JPN,2000,1,,,
21793,KAZ,2000,1,,,
22046,KEN,2000,1,,,
22269,KGZ,2000,1,,,
22522,KHM,2000,1,,,
22775,KIR,2000,1,,,
23028,KNA,2000,1,,,
23281,KOR,2000,1,,,
23534,KWT,2000,1,,,
23787,LAO,2000,1,,,
24040,LBN,2000,1,,,
24293,LBR,2000,1,,,
24546,LBY,2000,1,,,
24799,LCA,2000,1,,,
25052,LIE,2000,1,,,
25305,LKA,2000,1,,,
25558,LSO,2000,1,,,
25787,LTU,2000,1,,,
26040,LUX,2000,1,,,
26269,LVA,2000,1,,,
26522,MAR,2000,1,,,
26775,MCO,2000,1,,,
27010,MDA,2000,1,,,
27263,MDG,2000,1,,,
27516,MDV,2000,1,,,
27769,MEX,2000,1,,,
28022,MHL,2000,1,,,
28245,MKD,2000,1,,,
28498,MLI,2000,1,,,
28751,MLT,2000,1,,,
29004,MMR,2000,1,,,
29303,MNG,2000,1,,,
29556,MOZ,2000,1,,,
29809,MRT,2000,1,,,
30062,MUS,2000,1,,,
30315,MWI,2000,1,,,
30568,MYS,2000,1,,,
30809,NAM,2000,1,,,
31062,NER,2000,1,,,
31315,NGA,2000,1,,,
31568,NIC,2000,1,,,
31821,NLD,2000,1,,,
32074,NOR,2000,1,,,
32327,NPL,2000,1,,,
32580,NRU,2000,1,,,
32833,NZL,2000,1,,,
33086,OMN,2000,1,,,
33339,PAK,2000,1,,,
33592,PAN,2000,1,,,
33845,PER,2000,1,,,
34098,PHL,2000,1,,,
34351,PLW,2000,1,,,
34604,PNG,2000,1,,,
34857,POL,2000,1,,,
35110,PRK,2000,1,,,
35363,PRT,2000,1,,,
35616,PRY,2000,1,,,
35869,QAT,2000,1,,,
36122,ROU,2000,1,,,
36345,RUS,2000,1,,,
36598,RWA,2000,1,,,
36851,SAU,2000,1,,,
37104,SDN,2000,1,,,
37357,SEN,2000,1,,,
37610,SGP,2000,1,,,
37863,SLB,2000,1,,,
38116,SLE,2000,1,,,
38369,SLV,2000,1,,,
38622,SMR,2000,1,,,
38875,SOM,2000,1,,,
39164,STP,2000,1,,,
39417,SUR,2000,1,,,
39622,SVK,2000,1,,,
39845,SVN,2000,1,,,
40098,SWE,2000,1,,,
40351,SWZ,2000,1,,,
40604,SYC,2000,1,,,
40857,SYR,2000,1,,,
41110,TCD,2000,1,,,
41363,TGO,2000,1,,,
41616,THA,2000,1,,,
41839,TJK,2000,1,,,
42077,TKM,2000,1,,,
42424,TON,2000,1,,,
42677,TTO,2000,1,,,
42930,TUN,2000,1,,,
43183,TUR,2000,1,,,
43436,TUV,2000,1,,,
43689,TWN,2000,1,,,
43942,TZA,2000,1,,,
44195,UGA,2000,1,,,
44418,UKR,2000,1,,,
44671,URY,2000,1,,,
44924,USA,2000,1,,,
45147,UZB,2000,1,,,
45400,VCT,2000,1,,,
45653,VEN,2000,1,,,
45906,VNM,2000,1,,,
46159,VUT,2000,1,,,
46412,WSM,2000,1,,,
46665,XKX,2000,1,,,
46918,YEM,2000,1,,,
47147,YUG,2000,1,,,
47294,ZAF,2000,1,,,
47547,ZMB,2000,1,,,
47800,ZWE,2000,1,,,
0,AFG,2000,1,0.9617535039241115,0.6294083454278148,0.8994144651365596
1,AGO,2000,1,0.9381776776101315,0.6880274455217779,0.9085374904760275
2,ALB,2000,1,0.21402810464664332,0.49980342062763045,0.36822455799055054
3,AND,2000,1,0.006709707454973083,,
4,ARE,2000,1,0.05072348636493011,0.15011220551993384,0.06177347644172248
5,ARG,2000,1,0.05613379032382726,0.044818972480439624,0.02448441581186306
6,ARM,2000,1,0.07278055276083138,0.042038628396853434,0.044002627027759984
7,ATG,2000,1,0.006709707454973083,0.00951003407025148,0.008986554038424162
8,AUS,2000,1,0.03684663565119502,0.0459492869582681,0.009063836242129019
9,AUT,2000,1,0.036951735173776264,0.04445153732881881,0.014725696994676536
10,AZE,2000,1,0.6650751336385049,0.2567511670966035,0.6729906247133625
11,BDI,2000,1,0.9579906874268932,0.7312645410436527,0.9333473026272249
12,BEL,2000,1,0.036149542288756026,0.018618791749488564,0.009256595736067881
13,BEN,2000,1,0.0371004852354892,0.45755794513212394,0.1240725089386018
14,BFA,2000,1,0.025282632685886857,0.29258215005119137,0.06678488983006566
15,BGD,2000,1,0.05396653245115843,0.3850375771044368,0.11247176409748828
16,BGR,2000,1,0.036951735173776264,0.10216325273379033,0.034158664740199324
17,BHR,2000,1,0.0446359601040073,0.06227700496784803,0.03729330427210761
18,BHS,2000,1,0.012019098504538313,0.013265558954388296,0.015698289615414227
19,BIH,2000,1,0.060012775413715094,0.3249321436210884,0.123137391249583
20,BLR,2000,1,0.04040168289382815,0.12784839040077148,0.042926003315862604
21,BLZ,2000,1,0.012019098504538313,0.017637595942361802,0.010413411349933177
22,BOL,2000,1,0.4449784541563418,0.063828804172604,0.42943577236150854
23,BRA,2000,1,0.14511288396209646,0.05150170449524337,0.11483759039021958
24,BRB,2000,1,0.012019098504538313,0.01656429925247032,0.014431696784924057
25,BRN,2000,1,0.03220433033186178,0.02249682118684065,0.013181424716676167
26,BTN,2000,1,0.15140010097159878,0.15180321583820658,0.14120281704309337
27,BWA,2000,1,0.06117859113757126,0.07660732882734339,0.056098537718468976
28,CAF,2000,1,0.45636713905479853,0.3380061440886664,0.5231917989407654
29,CAN,2000,1,0.2784592503347949,0.07138580529484773,0.1621042279414122
30,CHE,2000,1,0.0371004852354892,0.01991069783908459,0.008414967489350535
31,CHL,2000,1,0.018649157093542403,0.10249859906675832,0.025977506306235087
32,CHN,2000,1,0.028049075113578244,0.12001395010182916,0.02498150875335032
33,CIV,2000,1,0.057220919705544535,0.4574668064651138,0.0989871028989847
34,CMR,2000,1,0.386077163900242,0.239274088085141,0.28766355002859584
35,COD,2000,1,0.9734387727818987,0.7522417265177486,0.938219203194805
36,COG,2000,1,0.864650858680802,0.5568378752792196,0.879061728082333
37,COL,2000,1,0.9174103044630754,0.6082993415321379,0.8610035266366528
38,COM,2000,1,0.2255441360918404,0.2372293683412544,0.3081691809494116
39,CPV,2000,1,0.027043302246837268,0.1615403815451337,0.08578307026227676
40,CRI,2000,1,0.03941048140822907,0.02456949937013081,0.018858817262997443
41,CUB,2000,1,0.03641358550645936,0.049336997433835544,0.01292880874150178
42,CYP,2000,1,0.043995544418020116,0.06566810372620548,0.023951344118836263
43,CZE,2000,1,0.07462933493198388,0.030362400438161435,0.013083388090015363
44,DEU,2000,1,0.03268274667246373,0.0202973392709553,0.012442773908515066
45,DJI,2000,1,0.5942116220172057,0.2423623934774482,0.6440043232004827
46,DMA,2000,1,0.012019098504538313,0.01322576373144047,0.01108887149865171
47,DNK,2000,1,0.03725867901644698,0.017737069958893906,0.011571324418687353
48,DOM,2000,1,0.036149542288756026,0.05752358724709431,0.02881833852064333
49,DZA,2000,1,0.9184949168010235,0.4096182798575325,0.8467327257316742
50,ECU,2000,1,0.08902740526857617,0.25976408495727304,0.07572384206230008
51,EGY,2000,1,0.40776562927859233,0.2739113342375128,0.36572985533443436
52,ERI,2000,1,0.42304681739059774,0.5394349764590929,0.5524497045651005
53,ESP,2000,1,0.046495466062901496,0.3621380248566557,0.09735986335025004
54,EST,2000,1,0.05241674848746836,0.018522118314983814,0.02013747972674386
55,ETH,2000,1,0.9546925735570069,0.6652554798263216,0.9151857486842492
56,FIN,2000,1,0.03725867901644698,0.014302766722130898,0.009649558200100434
57,FJI,2000,1,0.026095176866467545,0.058574697807109645,0.028740565079245686
58,FRA,2000,1,0.030720259568604316,0.029324848658326626,0.015106305798257481
59,FSM,2000,1,0.006709707454973083,,
60,GAB,2000,1,0.05070027187384814,0.07422785412296194,0.053383030736798585
61,GBR,2000,1,0.04126680737014576,0.13601431421349075,0.050738794222066425
62,GEO,2000,1,0.271690527326188,0.35624763277693045,0.2518810745862073
63,GHA,2000,1,0.08532270549820296,0.14599406502043594,0.08053870034947543
64,GIN,2000,1,0.7498650927700036,0.37544353544041714,0.7471999834360484
65,GMB,2000,1,0.03575620459118709,0.07992626762175596,0.05285865365491027
66,GNB,2000,1,0.4130796137551353,0.2761095142105835,0.5425430468167659
67,GNQ,2000,1,0.0446359601040073,0.09650327258843117,0.04635128402662372
68,GRC,2000,1,0.036149542288756026,0.10774615828671372,0.01989617909971225
69,GRD,2000,1,0.012019098504538313,0.014782064498168488,0.011002468742156414
70,GTM,2000,1,0.2094545252828209,0.21397611370046324,0.1418172756833805
71,GUY,2000,1,0.02664714042333242,0.019701218934454822,0.013809004089357703
72,HND,2000,1,0.47206129175318845,0.10132511074033208,0.42862075929780175
73,HRV,2000,1,0.055059668147228534,0.0854175833635436,0.07549133687195773
74,HTI,2000,1,0.34993747211203463,0.2934802512234911,0.4058373195789883
75,HUN,2000,1,0.036149542288756026,0.07895219439136539,0.032421235280992125
76,IDN,2000,1,0.7460638442714391,0.5296038849868933,0.7389006347282557
77,IND,2000,1,0.5420323067005942,0.37441964402345185,0.5543037897240348
78,IRL,2000,1,0.041001221642266016,0.11393280244604347,0.03386325234798599
79,IRN,2000,1,0.13895662326072825,0.2681512115325699,0.21540637194014065
80,IRQ,2000,1,0.8821668603595312,0.38352531370854803,0.8159270471723558
81,ISL,2000,1,0.012019098504538313,0.011799907065199263,0.00792783266354
82,ISR,2000,1,0.451695996032064,0.315515955395596,0.3584716883903891
83,ITA,2000,1,0.024260766756768807,0.026176065975458036,0.01003072326396126
84,JAM,2000,1,0.08817432316266455,0.05728171267432285,0.054281807171189446
85,JOR,2000,1,0.03598454316463698,0.08575746617386358,0.03961323280833444
86,JPN,2000,1,0.037071829459052734,0.03449405335337755,0.01155890584713572
87,KAZ,2000,1,0.041098776256267136,0.04677491228406162,0.024937013258672383
88,KEN,2000,1,0.8303265580303408,0.4330744823433491,0.8063401289791968
89,KGZ,2000,1,0.361737728624173,0.3896805754373542,0.5031661319522889
90,KHM,2000,1,0.39235157956153444,0.30732666113492435,0.3347549111405628
91,KIR,2000,1,0.012019098504538313,0.017467708265843204,0.013115488756028184
92,KNA,2000,1,0.012019098504538313,0.011614741845540276,0.016596600474961035
93,KOR,2000,1,0.03708448448309728,0.06873308126269914,0.01527064361596867
94,KWT,2000,1,0.07230037785998271,0.15307849460209108,0.08622939350199611
95,LAO,2000,1,0.28910204374455317,0.10781078772636962,0.3321390111137006
96,LBN,2000,1,0.8011751159598509,0.5163010135010486,0.7999972186285078
97,LBR,2000,1,0.8651323319951034,0.4372554296325526,0.8470516452752437
98,LBY,2000,1,0.03725867901644698,0.2067001584263751,0.06431251934976079
99,LCA,2000,1,0.012019098504538313,0.02348949876680658,0.015251229075604509
100,LIE,2000,1,0.006709707454973083,,
101,LKA,2000,1,0.9648661479573654,0.6064424244335193,0.9019317511089641
102,LSO,2000,1,0.21449353328516557,0.30319443153191006,0.3184564417803325
103,LTU,2000,1,0.044846480384379925,0.0427836061943006,0.019233391839202398
104,LUX,2000,1,0.027043302246837268,0.00798914383966884,0.009753407782527822
105,LVA,2000,1,0.032241679811458014,0.03664608613961992,0.01850946788656787
106,MAR,2000,1,0.0472416236136184,0.23513866604010242,0.05733889357071279
107,MCO,2000,1,0.006709707454973083,,
108,MDA,2000,1,0.052858950186248616,0.05917733806666912,0.04531282104141641
109,MDG,2000,1,0.03497662075194327,0.14820407496880766,0.03363613863497565
110,MDV,2000,1,0.012019098504538313,0.004275040910768601,0.007759447950437584
111,MEX,2000,1,0.05186164649786764,0.09448167781272139,0.055705163648651655
112,MHL,2000,1,0.012019098504538313,0.020090624964248474,0.012794092038141578
113,MKD,2000,1,0.4980128457712395,0.33112419934048287,0.5244323618708588
114,MLI,2000,1,0.6905665953877996,0.11138522613327573,0.5971246379381435
115,MLT,2000,1,0.026745596813791503,0.01700049898943473,0.016901286443195745
116,MMR,2000,1,0.8948725892394485,0.5615519998946364,0.8683807518513457
117,MNG,2000,1,0.061121313669559516,0.04370911095470276,0.025537186935605024
118,MOZ,2000,1,0.04389073058814887,0.28893857230091674,0.09216255845455448
119,MRT,2000,1,0.051545213977656185,0.1343658248234781,0.061325177116346774
120,MUS,2000,1,0.0506185318005674,0.09428804835242527,0.0472534446127143
121,MWI,2000,1,0.03641358550645936,0.17495857247637234,0.06219026631123142
122,MYS,2000,1,0.024738787029252828,0.19387844444169233,0.04121259748682625
123,NAM,2000,1,0.6391596242035513,0.38472581047255694,0.6889178175879906
124,NER,2000,1,0.4554112077346719,0.3752825012590636,0.4110738586826857
125,NGA,2000,1,0.818183817474273,0.4984912215535328,0.7618303901911495
126,NIC,2000,1,0.035224300495641035,0.10972965037077642,0.060478751249556706
127,NLD,2000,1,0.022815305680735632,0.028896388631363245,0.013507175153145368
128,NOR,2000,1,0.039414373705879885,0.05379576363636701,0.01830350314722156
129,NPL,2000,1,0.783849032585493,0.33159436445455415,0.7844077363430247
130,NRU,2000,1,0.006709707454973083,,
131,NZL,2000,1,0.04038357310349335,0.015965396562391564,0.007137550698993785
132,OMN,2000,1,0.033263554483485495,0.13123199037508543,0.05284647096506048
133,PAK,2000,1,0.15635362934982452,0.3998185260176769,0.24171024047040549
134,PAN,2000,1,0.03935197428847865,0.050452761874079,0.01681408842057087
135,PER,2000,1,0.7239176461679006,0.24187256265396814,0.6082121851288909
136,PHL,2000,1,0.768397012387712,0.40811956731599675,0.7634321164037642
137,PLW,2000,1,0.012019098504538313,0.02414594930171555,0.016242693912018994
