,iso_o,year,conflict_stock_idp_pop_0,conflict_stock_idp_pop_1,conflict_stock_idp_pop_2,conflict_stock_idp_pop_3,conflict_stock_idp_pop_4,conflict_idp_pop_0,conflict_idp_pop_1,conflict_idp_pop_2,conflict_idp_pop_3,conflict_idp_pop_4
92,AND,2017,0,0,0,0,1,0,0,0,0,1
93,AND,2018,0,0,0,0,1,0,0,0,0,1
94,AND,2019,0,0,0,0,1,0,0,0,0,1
95,AND,2020,0,0,0,0,1,0,0,0,0,1
96,AND,2021,0,0,0,0,1,0,0,0,0,1
97,AND,2022,0,0,0,0,1,0,0,0,0,1
98,AND,2023,0,0,0,0,1,0,0,0,0,1
99,AND,2024,0,0,0,0,1,0,0,0,0,1
100,AGO,2000,0,0,0,0,1,0,0,0,0,1
101,AGO,2001,0,0,0,0,1,0,0,0,0,1
102,AGO,2002,0,0,0,0,1,0,0,0,0,1
103,AGO,2003,0,0,0,0,1,0,0,0,0,1
104,AGO,2004,0,0,0,0,1,0,0,0,0,1
105,AGO,2005,0,0,0,0,1,0,0,0,0,1
106,AGO,2006,0,0,0,0,1,0,0,0,0,1
107,AGO,2007,0,0,0,0,1,0,0,0,0,1
108,AGO,2008,0,0,0,0,1,0,0,0,0,1
109,AGO,2009,0,0,0,0,1,0,0,0,1,0
110,AGO,2010,0,0,0,0,1,0,0,0,1,0
111,AGO,2011,0,0,0,0,1,0,0,0,1,0
112,AGO,2012,0,0,0,0,1,0,0,0,1,0
113,AGO,2013,0,0,0,0,1,0,0,0,1,0
114,AGO,2014,0,0,0,0,1,0,0,0,0,1
115,AGO,2015,0,0,0,0,1,0,0,0,0,1
116,AGO,2016,0,0,0,0,1,0,0,0,0,1
117,AGO,2017,0,0,0,0,1,0,0,0,0,1
118,AGO,2018,0,0,0,0,1,0,0,0,0,1
119,AGO,2019,0,0,0,0,1,0,0,0,0,1
120,AGO,2020,0,0,0,0,1,0,0,0,0,1
121,AGO,2021,0,0,0,0,1,0,0,0,0,1
122,AGO,2022,0,0,0,0,1,0,0,0,0,1
123,AGO,2023,0,0,0,0,1,0,0,0,0,1
124,AGO,2024,0,0,0,0,1,0,0,0,0,1
125,ATG,2000,0,0,0,0,1,0,0,0,0,1
126,ATG,2001,0,0,0,0,1,0,0,0,0,1
127,ATG,2002,0,0,0,0,1,0,0,0,0,1
128,ATG,2003,0,0,0,0,1,0,0,0,0,1
129,ATG,2004,0,0,0,0,1,0,0,0,0,1
130,ATG,2005,0,0,0,0,1,0,0,0,0,1
131,ATG,2006,0,0,0,0,1,0,0,0,0,1
132,ATG,2007,0,0,0,0,1,0,0,0,0,1
133,ATG,2008,0,0,0,0,1,0,0,0,0,1
134,ATG,2009,0,0,0,0,1,0,0,0,0,1
135,ATG,2010,0,0,0,0,1,0,0,0,0,1
136,ATG,2011,0,0,0,0,1,0,0,0,0,1
137,ATG,2012,0,0,0,0,1,0,0,0,0,1
138,ATG,2013,0,0,0,0,1,0,0,0,0,1
139,ATG,2014,0,0,0,0,1,0,0,0,0,1
140,ATG,2015,0,0,0,0,1,0,0,0,0,1
141,ATG,2016,0,0,0,0,1,0,0,0,0,1
142,ATG,2017,0,0,0,0,1,0,0,0,0,1
143,ATG,2018,0,0,0,0,1,0,0,0,0,1
144,ATG,2019,0,0,0,0,1,0,0,0,0,1
145,ATG,2020,0,0,0,0,1,0,0,0,0,1
146,ATG,2021,0,0,0,0,1,0,0,0,0,1
147,ATG,2022,0,0,0,0,1,0,0,0,0,1
148,ATG,2023,0,0,0,0,1,0,0,0,0,1
149,ATG,2024,0,0,0,0,1,0,0,0,0,1
150,ARG,2000,0,0,0,0,1,0,0,0,0,1
151,ARG,2001,0,0,0,0,1,0,0,0,0,1
152,ARG,2002,0,0,0,0,1,0,0,0,0,1
153,ARG,2003,0,0,0,0,1,0,0,0,0,1
154,ARG,2004,0,0,0,0,1,0,0,0,0,1
155,ARG,2005,0,0,0,0,1,0,0,0,0,1
