,date,topic_mid,value,topic_title,iso2,iso_d
64022,2012-03-01,/m/0fmsx,22,Ashgabat,TM,TKM
64023,2012-04-01,/m/0fmsx,21,Ashgabat,TM,TKM
64024,2012-05-01,/m/0fmsx,19,Ashgabat,TM,TKM
64025,2012-06-01,/m/0fmsx,17,Ashgabat,TM,TKM
64026,2012-07-01,/m/0fmsx,18,Ashgabat,TM,TKM
64027,2012-08-01,/m/0fmsx,18,Ashgabat,TM,TKM
64028,2012-09-01,/m/0fmsx,18,Ashgabat,TM,TKM
64029,2012-10-01,/m/0fmsx,19,Ashgabat,TM,TKM
64030,2012-11-01,/m/0fmsx,20,Ashgabat,TM,TKM
64031,2012-12-01,/m/0fmsx,27,Ashgabat,TM,TKM
64032,2013-01-01,/m/0fmsx,24,Ashgabat,TM,TKM
64033,2013-02-01,/m/0fmsx,23,Ashgabat,TM,TKM
64034,2013-03-01,/m/0fmsx,25,Ashgabat,TM,TKM
