search_country,search_keyword,topic_title,topic_type,topic_mid
Cameroon,Mokolo,Mokolo,City in Cameroon,/m/08k5y5
Afghanistan,Jalalabad,Jalalabad,City in Afghanistan,/m/044rd
Italy,Padova,Padua,City in Italy,/m/0d99m
Austria,Linz,Linz,City in Austria,/m/0fhmf
Paraguay,Asuncion,Asunción,Capital of Paraguay,/m/0fn_m
Nigeria,Abeokuta,Abeokuta,City in Nigeria,/m/010dr
Senegal,Saint-Louis,Saint Louis,City in Senegal,/m/02lvr8
Russia,Murmansk,Murmansk,City in Russia,/m/0h4ct
Kenya,Eldoret,Eldoret,Town in Kenya,/m/02j_7h
United Kingdom,Swansea,Swansea,City in Wales,/m/0ck6r
Dominican Republic,Santo Domingo Oeste,Santo Domingo,Capital of the Dominican Republic,/m/0fthl
Sweden,Stockholm,Stockholm,Capital of Sweden,/m/06mxs
China,Fangchenggang,Fangchenggang,City in China,/m/0bm0pv
Vietnam,Tan An,Tan An,City in Vietnam,/m/0gfcd4
Russia,Blagoveshchensk,Blagoveshchensk,City in Russia,/m/0311_g
Tanzania,Morogoro,Morogoro,City in Tanzania,/m/05m25_
Romania,Galati,Galați,City in Romania,/m/01m0rb
Ireland,Dublin,Dublin,Capital of the Republic of Ireland,/m/02cft
South Africa,Cape Town,Cape Town,Capital of South Africa,/m/01yj2
Cambodia,Takeo,Krong Doun Kaev,Town in Cambodia,/m/0ggd_l
Ukraine,Lutsk,Lutsk,City in Ukraine,/m/02jz3q
Ireland,South Dublin,Dublin,Capital of the Republic of Ireland,/m/02cft
Russia,Makhachkala,Makhachkala,City in Russia,/m/02dpch
Islamic Republic of Iran,Ardabil,Ardabil,City in Iran,/m/03xprz
Côte d'Ivoire,Daloa,Daloa,City in Côte d’Ivoire,/m/06q_fg
Croatia,Zagreb,Zagreb,Capital of Croatia,/m/0fhzy
Estonia,Tallinn,Tallinn,Capital of Estonia,/m/07r_p
Albania,Tirana,Tirana,Capital of Albania,/m/07m_f
Poland,Wroclaw,Wrocław,City in Poland,/m/0845b
Russia,Pskov,Pskov,City in Russia,/m/01s220
Botswana,Gaborone,Gaborone,Capital of Botswana,/m/0fndh
China,Shenzhen,Shenzhen,City in China,/m/0lbmv
Somalia,Marka,Merca,City in Somalia,/m/06164n
Kosovo,Pristina,Pristina,City,/m/01nyhl
Democratic Republic of the Congo,Bukavu,Bukavu,City in the Democratic Republic of the Congo,/m/029pz0
Colombia,Popayan,Popayán,Municipality in Colombia,/m/0308lz
Bangladesh,Chattogram,Chattogram,City in Bangladesh,/m/021j38
Finland,Oulu,Oulu,City in Finland,/m/01dnlr
Peru,Chiclayo,Chiclayo,City in Peru,/m/02pg_2
Peru,Tacna,Tacna,City in Peru,/m/02wq3y
Pakistan,Peshawar,Peshawar,City in Pakistan,/m/0hj6h
Türkiye,Izmir,İzmir,City in Turkey,/m/02s2xy
Mexico,Heroica Matamoros,Matamoros Municipality,Municipality in Mexico,/m/043mhxq
Türkiye,Esenyurt,Esenyurt,Municipality in Turkey,/m/04f6b_f
Bosnia and Herzegovina,Sarajevo,Sarajevo,Capital of Bosnia and Herzegovina,/m/06n8j
United States,Buffalo,Buffalo,City in New York State,/m/019fh
Islamic Republic of Iran,Tabriz,Tabriz,City in Iran,/m/028q7m
Republic of Congo,Pointe-Noire,Pointe-Noire,City in Congo,/m/040hql
Russia,Vladikavkaz,Vladikavkaz,City in Russia,/m/01hf_k
Namibia,Windhoek,Windhoek,Capital of Namibia,/m/0ftq7
Benin,Abomey-Calavi,Abomey Calavi,City in Benin,/m/09ld1z
Syria,Damascus,Damascus,Capital of Syria,/m/02gjp
Honduras,Tegucigalpa,Tegucigalpa,Capital of Honduras,/m/0ftld
Eritrea,Asmara,Asmara,Capital of Eritrea,/m/0fnz8
Tanzania,Arusha,Arusha,City in Tanzania,/m/01_fpx
Egypt,Suez,Suez,City in Egypt,/m/01k6hh
Finland,Helsinki,Helsinki,Capital of Finland,/m/03khn
Syria,Aleppo,Aleppo,City in Syria,/m/01505k
Germany,Kiel,Kiel,City in Germany,/m/0g7pm
El Salvador,San Salvador,San Salvador,Capital of El Salvador,/m/0ftfw
Democratic Republic of the Congo,Beni,Beni,City in the Democratic Republic of the Congo,/g/122cz20k
Syria,Latakia,Latakia,Topic,/m/01bsmp
Norway,Oslo,Oslo,Capital of Norway,/m/05l64
